date,oblast,predicted_risk,actual_risk,lower_95,upper_95
2024-01-01,Administrative unit not available,39.57159285271106,39.8110237572197,26.887758767981417,52.25542693744071
2024-02-01,Administrative unit not available,34.976962348985964,43.827346829963304,22.293128264256318,47.66079643371561
2024-03-01,Administrative unit not available,29.405172915297953,29.326379898574856,16.721338830568307,42.0890070000276
2024-04-01,Administrative unit not available,24.268036507993834,28.69970230052607,11.58420242326419,36.95187059272348
2024-05-01,Administrative unit not available,20.526188870964702,11.817250147016793,7.842354786235058,33.21002295569435
2024-06-01,Administrative unit not available,21.013702032372493,0.7933522476652684,8.329867947642848,33.69753611710214
2024-07-01,Administrative unit not available,20.333599768210874,9.05208390071953,7.649765683481229,33.01743385294052
2024-08-01,Administrative unit not available,20.378646854389014,4.802216381498113,7.69481276965937,33.06248093911866
2024-09-01,Administrative unit not available,22.626778124830842,7.902308123636237,9.942944040101198,35.31061220956049
2024-10-01,Administrative unit not available,27.794688689882083,19.855758934863616,15.110854605152438,40.478522774611726
2024-11-01,Administrative unit not available,35.88062159150364,22.386730599187683,23.196787506773994,48.56445567623329
2024-12-01,Administrative unit not available,40.196150532731465,31.08645067822367,27.51231644800182,52.87998461746111
2024-01-01,Akmolinskaya,0.3171146885375471,-5.647053633595078e-07,-12.366719396192098,13.000948773267192
2024-02-01,Akmolinskaya,-0.10756894700444875,-5.647053633595078e-07,-12.791403031734093,12.576265137725196
2024-03-01,Akmolinskaya,0.8130306734138948,-5.647053633595078e-07,-11.87080341131575,13.49686475814354
2024-04-01,Akmolinskaya,0.6025975577636125,-5.647053633595078e-07,-12.081236526966032,13.286431642493257
2024-05-01,Akmolinskaya,0.7834483768600364,-5.647053633595078e-07,-11.900385707869608,13.467282461589681
2024-06-01,Akmolinskaya,0.4135601825071511,-5.647053633595078e-07,-12.270273902222494,13.097394267236796
2024-07-01,Akmolinskaya,-0.31634337120023304,-5.647053633595078e-07,-13.000177455929878,12.367490713529412
2024-08-01,Akmolinskaya,-0.01707543110233445,-5.647053633595078e-07,-12.70090951583198,12.66675865362731
2024-09-01,Akmolinskaya,0.7289115673946043,-5.647053633595078e-07,-11.95492251733504,13.412745652124249
2024-10-01,Akmolinskaya,-0.24109188487998523,-5.647053633595078e-07,-12.92492596960963,12.44274219984966
2024-11-01,Akmolinskaya,-0.5164157000001275,-5.647053633595078e-07,-13.200249784729772,12.167418384729517
2024-12-01,Akmolinskaya,-0.3820979006271621,-5.647053633595078e-07,-13.065931985356807,12.301736184102483
2024-01-01,Aktyubinskaya,45.23909843890792,36.771297521492876,32.55526435417827,57.92293252363756
2024-02-01,Aktyubinskaya,43.58240534552892,38.55990313921467,30.898571260799272,56.266239430258565
2024-03-01,Aktyubinskaya,31.638433710263854,30.673280464913905,18.954599625534208,44.3222677949935
2024-04-01,Aktyubinskaya,10.981855023751429,19.03227488010563,-1.701979060978216,23.665689108481075
2024-05-01,Aktyubinskaya,2.8651958112516276,5.166306052606224,-9.818638273478017,15.549029895981272
2024-06-01,Aktyubinskaya,3.362746348621595,12.702800858348553,-9.32108773610805,16.046580433351238
2024-07-01,Aktyubinskaya,10.16222867667848,11.682605609566256,-2.5216054080511654,22.846062761408124
2024-08-01,Aktyubinskaya,17.36357233040104,12.880474817772512,4.6797382456713965,30.047406415130688
2024-09-01,Aktyubinskaya,19.929699212226442,25.340119746338267,7.245865127496797,32.613533296956085
2024-10-01,Aktyubinskaya,21.268117142963458,18.362942768319527,8.584283058233813,33.9519512276931
2024-11-01,Aktyubinskaya,29.927627101340505,20.64475105472827,17.24379301661086,42.61146118607015
2024-12-01,Aktyubinskaya,36.40152829773288,31.366256581115085,23.717694213003234,49.08536238246253
2024-01-01,Almatinskaya,45.28940403337404,36.482150702848095,32.605569948644394,57.97323811810369
2024-02-01,Almatinskaya,43.158345874546725,37.54102173958863,30.47451178981708,55.84217995927637
2024-03-01,Almatinskaya,34.53806690022807,23.98099904658205,21.85423281549842,47.22190098495771
2024-04-01,Almatinskaya,15.723861642577804,16.66047832564329,3.040027557848159,28.40769572730745
2024-05-01,Almatinskaya,4.641385382025561,2.971376203300327,-8.042448702704084,17.325219466755208
2024-06-01,Almatinskaya,3.4333269460122864,7.124536148405486,-9.250507138717358,16.117161030741933
2024-07-01,Almatinskaya,6.087070335221972,5.627692978160573,-6.596763749507673,18.770904419951616
2024-08-01,Almatinskaya,9.742905614662504,11.901877895425976,-2.9409284700671403,22.42673969939215
2024-09-01,Almatinskaya,14.84779668076467,16.607636416073667,2.1639625960350255,27.531630765494313
2024-10-01,Almatinskaya,20.307891518940014,20.582129141437534,7.6240574342103695,32.99172560366966
2024-11-01,Almatinskaya,29.777129301334487,24.430209806112252,17.093295216604844,42.46096338606413
2024-12-01,Almatinskaya,38.8291025551182,33.94476486401369,26.14526847038855,51.512936639847844
2024-01-01,Almaty City area,40.188660558013865,39.92382856981744,27.50482647328422,52.87249464274351
2024-02-01,Almaty City area,40.552557117434965,40.000000785073965,27.86872303270532,53.23639120216461
2024-03-01,Almaty City area,34.00205265291327,28.04191647875375,21.318218568183624,46.68588673764292
2024-04-01,Almaty City area,10.371185867292327,14.323470863148458,-2.3126482174373173,23.055019952021972
2024-05-01,Almaty City area,2.1195846908597638,3.786902375447294,-10.564249393869881,14.803418775589408
2024-06-01,Almaty City area,2.8903796442915315,5.655044145044865,-9.793454440438113,15.574213729021176
2024-07-01,Almaty City area,9.451369038890974,4.9318650161530115,-3.232465045838671,22.13520312362062
2024-08-01,Almaty City area,11.725892801157608,10.749243375690337,-0.9579412835720369,24.409726885887252
2024-09-01,Almaty City area,12.184818414808323,9.476719258339774,-0.49901566992132196,24.868652499537966
2024-10-01,Almaty City area,17.514307209487097,17.956077565380063,4.830473124757452,30.19814129421674
2024-11-01,Almaty City area,24.184577343922783,28.336110064433157,11.500743259193138,36.86841142865243
2024-12-01,Almaty City area,36.507386262232735,39.1310430230274,23.82355217750309,49.19122034696238
2024-01-01,Atyrauskaya,36.27498151955058,32.61560126128422,23.591147434820932,48.958815604280225
2024-02-01,Atyrauskaya,35.247023870635076,23.40472726279231,22.56318978590543,47.93085795536472
2024-03-01,Atyrauskaya,31.757643968551264,14.891037749698633,19.073809883821617,44.44147805328091
2024-04-01,Atyrauskaya,8.101127812787801,23.678510063892226,-4.582706271941843,20.784961897517448
2024-05-01,Atyrauskaya,1.2273776610663774,8.292244587102603,-11.456456423663267,13.911211745796022
2024-06-01,Atyrauskaya,4.129998047439024,13.079126396303689,-8.55383603729062,16.81383213216867
2024-07-01,Atyrauskaya,8.029734249679029,13.985093064849417,-4.654099835050616,20.713568334408674
2024-08-01,Atyrauskaya,14.120242365213993,13.610627088987497,1.4364082804843488,26.804076449943636
2024-09-01,Atyrauskaya,17.165939329808268,25.598401024026895,4.482105245078623,29.849773414537914
2024-10-01,Atyrauskaya,18.272315841553283,13.90702551011123,5.588481756823638,30.956149926282926
2024-11-01,Atyrauskaya,23.45161740982088,12.319029313068834,10.767783325091235,36.13545149455052
2024-12-01,Atyrauskaya,33.38250897990916,20.22628858977282,20.698674895179515,46.06634306463881
2024-01-01,Jambylslkaya,37.9259536792019,31.46648585720204,25.242119594472257,50.60978776393155
2024-02-01,Jambylslkaya,35.119621883553165,31.27780194530127,22.43578779882352,47.80345596828281
2024-03-01,Jambylslkaya,20.46066350002127,17.876494644267584,7.776829415291624,33.144497584750916
2024-04-01,Jambylslkaya,7.747579108630907,8.106680635895087,-4.936254976098738,20.43141319336055
2024-05-01,Jambylslkaya,10.516671384493543,4.210356648196093,-2.1671627002361014,23.200505469223188
2024-06-01,Jambylslkaya,15.991890749931713,18.061790265061788,3.308056665202068,28.67572483466136
2024-07-01,Jambylslkaya,19.65692733787644,16.017544430602957,6.973093253146795,32.340761422606086
2024-08-01,Jambylslkaya,20.063315984924227,20.313012076838305,7.379481900194582,32.74715006965387
2024-09-01,Jambylslkaya,20.841492018341608,19.635032330492706,8.157657933611963,33.52532610307125
2024-10-01,Jambylslkaya,23.33003980915611,16.78686949373851,10.646205724426464,36.01387389388575
2024-11-01,Jambylslkaya,29.899877641601755,11.625772150394594,17.21604355687211,42.5837117263314
2024-12-01,Jambylslkaya,32.873773482596036,28.26095685816791,20.18993939786639,45.55760756732568
2024-01-01,Karagandinskaya,44.69927713262064,38.399572161074545,32.01544304789099,57.38311121735028
2024-02-01,Karagandinskaya,45.6538350983574,41.4893677742932,32.97000101362775,58.337669183087044
2024-03-01,Karagandinskaya,38.31569616887551,33.022955709234296,25.631862084145865,50.99953025360516
2024-04-01,Karagandinskaya,9.918864845758506,25.10382432042631,-2.7649692389711387,22.602698930488152
2024-05-01,Karagandinskaya,6.669783126563381,2.5980482070225754,-6.014050958166264,19.353617211293027
2024-06-01,Karagandinskaya,9.165122343974327,10.8945633685884,-3.518711740755318,21.84895642870397
2024-07-01,Karagandinskaya,16.620498171691985,10.072628302328788,3.93666408696234,29.30433225642163
2024-08-01,Karagandinskaya,19.43229248487116,13.852011525115618,6.748458400141514,32.1161265696008
2024-09-01,Karagandinskaya,20.89023369910364,25.86405287478737,8.206399614373995,33.574067783833286
2024-10-01,Karagandinskaya,25.127803360686762,21.35547183960913,12.443969275957118,37.81163744541641
2024-11-01,Karagandinskaya,33.16218061451111,31.431221421679062,20.47834652978146,45.846014699240754
2024-12-01,Karagandinskaya,39.264464232424956,38.000575828327875,26.58063014769531,51.9482983171546
2024-01-01,Kustanayskaya,44.494216659976814,39.14410909770742,31.810382575247168,57.17805074470646
2024-02-01,Kustanayskaya,46.085424200921494,46.41671764525623,33.40159011619185,58.76925828565114
2024-03-01,Kustanayskaya,44.72516444394893,39.947374401940735,32.04133035921928,57.40899852867857
2024-04-01,Kustanayskaya,27.03500498635223,24.686410391583923,14.351170901622586,39.718839071081874
2024-05-01,Kustanayskaya,10.388880587720372,3.747916229420646,-2.2949534970092724,23.07271467245002
2024-06-01,Kustanayskaya,8.224173579537297,3.5275413103123263,-4.459660505192348,20.90800766426694
2024-07-01,Kustanayskaya,7.311288943436157,-5.647053633595078e-07,-5.372545141293488,19.9951230281658
2024-08-01,Kustanayskaya,12.59359533723861,4.467224503514842,-0.09023874749103555,25.277429421968254
2024-09-01,Kustanayskaya,17.49250520176067,21.7884843865224,4.808671117031027,30.176339286490318
2024-10-01,Kustanayskaya,24.63449869411378,18.09795732530039,11.950664609384136,37.31833277884343
2024-11-01,Kustanayskaya,33.053978584489016,33.10487385928512,20.37014449975937,45.73781266921866
2024-12-01,Kustanayskaya,39.41258951741914,38.395027139583846,26.728755432689496,52.09642360214879
2024-01-01,Kyzylordinskaya,38.6631885801697,26.07045305975982,25.979354495440056,51.34702266489935
2024-02-01,Kyzylordinskaya,34.30280169068208,35.90771412666426,21.618967605952434,46.98663577541173
2024-03-01,Kyzylordinskaya,19.465477090282924,16.714582789077316,6.7816430055532795,32.14931117501257
2024-04-01,Kyzylordinskaya,9.123541259653479,22.093215275203605,-3.560292825076166,21.807375344383125
2024-05-01,Kyzylordinskaya,9.272737279983673,8.982553348126958,-3.4110968047459718,21.95657136471332
2024-06-01,Kyzylordinskaya,11.533154405935369,13.558328306037591,-1.1506796787942761,24.216988490665013
2024-07-01,Kyzylordinskaya,14.188387082820546,11.068122497288707,1.504552998090901,26.87222116755019
2024-08-01,Kyzylordinskaya,15.222406628286102,12.346761530692673,2.538572543556457,27.906240713015748
2024-09-01,Kyzylordinskaya,15.174998571230873,14.082106686505359,2.491164486501228,27.85883265596052
2024-10-01,Kyzylordinskaya,17.447504790526413,14.968669078929555,4.763670705796768,30.131338875256056
2024-11-01,Kyzylordinskaya,23.08921143123389,14.197641356946482,10.405377346504244,35.77304551596353
2024-12-01,Kyzylordinskaya,28.91605032369678,24.628623874510524,16.232216238967133,41.599884408426426
2024-01-01,Mangistauskaya,32.87911164137267,28.122894933541886,20.19527755664302,45.56294572610231
2024-02-01,Mangistauskaya,31.331679243871335,27.889653948286522,18.64784515914169,44.01551332860098
2024-03-01,Mangistauskaya,25.941847142004207,22.739139384022483,13.258013057274562,38.62568122673385
2024-04-01,Mangistauskaya,25.123638958882736,30.400603314432697,12.439804874153092,37.80747304361238
2024-05-01,Mangistauskaya,26.483775865786555,21.946794373268435,13.79994178105691,39.1676099505162
2024-06-01,Mangistauskaya,26.76478785461604,24.940649255431524,14.080953769886394,39.448621939345685
2024-07-01,Mangistauskaya,28.285763088891247,27.988668517377956,15.601929004161603,40.96959717362089
2024-08-01,Mangistauskaya,28.358502399068872,25.733693002892366,15.674668314339227,41.042336483798515
2024-09-01,Mangistauskaya,25.240750420732528,26.37788212389826,12.556916336002883,37.92458450546217
2024-10-01,Mangistauskaya,26.585580209070688,23.139598925745844,13.901746124341043,39.26941429380033
2024-11-01,Mangistauskaya,28.21368932434921,22.03948270263558,15.529855239619566,40.89752340907886
2024-12-01,Mangistauskaya,28.97465368596412,24.000368407420886,16.290819601234475,41.65848777069377
2024-01-01,Pavlodarskaya,7.314327004083584,-5.647053633595078e-07,-5.369507080646061,19.998161088813227
2024-02-01,Pavlodarskaya,6.813244419473973,-5.647053633595078e-07,-5.870589665255672,19.497078504203618
2024-03-01,Pavlodarskaya,6.280050982158718,-5.647053633595078e-07,-6.403783102570927,18.963885066888363
2024-04-01,Pavlodarskaya,6.015657805786795,-5.647053633595078e-07,-6.66817627894285,18.69949189051644
2024-05-01,Pavlodarskaya,5.911543019104506,-5.647053633595078e-07,-6.772291065625138,18.595377103834153
2024-06-01,Pavlodarskaya,6.028806642618392,-5.647053633595078e-07,-6.655027442111253,18.712640727348038
2024-07-01,Pavlodarskaya,6.434594644428749,-5.647053633595078e-07,-6.2492394403008955,19.118428729158396
2024-08-01,Pavlodarskaya,6.827482095862239,-5.647053633595078e-07,-5.856351988867406,19.511316180591884
2024-09-01,Pavlodarskaya,7.355670147218651,-5.647053633595078e-07,-5.328163937510993,20.039504231948296
2024-10-01,Pavlodarskaya,8.002221869020312,-5.647053633595078e-07,-4.6816122157093325,20.686055953749957
2024-11-01,Pavlodarskaya,8.613269489901722,-5.647053633595078e-07,-4.070564594827923,21.297103574631365
2024-12-01,Pavlodarskaya,8.555527371274218,-5.647053633595078e-07,-4.1283067134554265,21.239361456003863
2024-01-01,Severo-kazachstanskaya,7.376976228614932,-5.647053633595078e-07,-5.306857856114712,20.060810313344575
2024-02-01,Severo-kazachstanskaya,6.942773221430235,-5.647053633595078e-07,-5.74106086329941,19.62660730615988
2024-03-01,Severo-kazachstanskaya,6.467705539799267,-5.647053633595078e-07,-6.216128544930378,19.151539624528912
2024-04-01,Severo-kazachstanskaya,6.202736476789296,-5.647053633595078e-07,-6.481097607940349,18.88657056151894
2024-05-01,Severo-kazachstanskaya,6.078978610693952,-5.647053633595078e-07,-6.604855474035693,18.762812695423598
2024-06-01,Severo-kazachstanskaya,6.104022782603071,-5.647053633595078e-07,-6.579811302126574,18.787856867332714
2024-07-01,Severo-kazachstanskaya,6.446016683451948,-5.647053633595078e-07,-6.237817401277697,19.12985076818159
2024-08-01,Severo-kazachstanskaya,6.855760026423031,-5.647053633595078e-07,-5.828074058306614,19.539594111152674
2024-09-01,Severo-kazachstanskaya,7.693123337105556,-5.647053633595078e-07,-4.990710747624089,20.3769574218352
2024-10-01,Severo-kazachstanskaya,8.74700105736769,-5.647053633595078e-07,-3.9368330273619545,21.430835142097337
2024-11-01,Severo-kazachstanskaya,9.586499803982019,-5.647053633595078e-07,-3.097334280747626,22.27033388871166
2024-12-01,Severo-kazachstanskaya,9.816976016111306,-5.647053633595078e-07,-2.8668580686183383,22.50081010084095
2024-01-01,Vostochno-kazachstanskaya,39.252446478331564,38.98901454986596,26.568612393601917,51.93628056306121
2024-02-01,Vostochno-kazachstanskaya,36.02501395861946,38.72477913884548,23.341179873889814,48.70884804334911
2024-03-01,Vostochno-kazachstanskaya,24.949853527424217,38.40608105945368,12.266019442694573,37.633687612153864
2024-04-01,Vostochno-kazachstanskaya,11.785814323109939,20.960682313492846,-0.8980197616197056,24.469648407839586
2024-05-01,Vostochno-kazachstanskaya,9.507896450522955,3.0626214754125876,-3.17593763420669,22.1917305352526
2024-06-01,Vostochno-kazachstanskaya,10.911424432760468,1.9507602469141894,-1.772409651969177,23.595258517490112
2024-07-01,Vostochno-kazachstanskaya,13.237527981785195,2.039424374424179,0.5536938970555507,25.92136206651484
2024-08-01,Vostochno-kazachstanskaya,15.571707306381649,10.541124151861194,2.887873221652004,28.255541391111294
2024-09-01,Vostochno-kazachstanskaya,16.88939391084664,21.667417044695792,4.205559826116994,29.573227995576282
2024-10-01,Vostochno-kazachstanskaya,20.995265038897504,25.8443434132319,8.311430954167859,33.67909912362715
2024-11-01,Vostochno-kazachstanskaya,29.89824481331963,37.23242409111206,17.214410728589982,42.582078898049275
2024-12-01,Vostochno-kazachstanskaya,37.70913235997686,39.024621241369935,25.025298275247216,50.39296644470651
2024-01-01,Yujno-kazachstanskaya,25.266317890829214,32.80493175249418,12.58248380609957,37.95015197555886
2024-02-01,Yujno-kazachstanskaya,21.14851780557675,30.266738982681908,8.464683720847104,33.83235189030639
2024-03-01,Yujno-kazachstanskaya,18.12690554307837,17.583690341997176,5.443071458348724,30.81073962780801
2024-04-01,Yujno-kazachstanskaya,18.388233717998318,12.879113552800241,5.7043996332686735,31.072067802727965
2024-05-01,Yujno-kazachstanskaya,19.794639840267454,12.636082494698062,7.110805755537809,32.4784739249971
2024-06-01,Yujno-kazachstanskaya,20.52660494475016,25.095263179319822,7.842770860020517,33.21043902947981
2024-07-01,Yujno-kazachstanskaya,21.931664201907058,22.139291917698003,9.247830117177413,34.6154982866367
2024-08-01,Yujno-kazachstanskaya,23.715033389330188,25.618169539825935,11.031199304600543,36.398867474059834
2024-09-01,Yujno-kazachstanskaya,26.154044557062818,25.53339954396873,13.470210472333173,38.837878641792464
2024-10-01,Yujno-kazachstanskaya,29.30428326620988,24.858864300718395,16.620449181480232,41.988117350939525
2024-11-01,Yujno-kazachstanskaya,31.64622283567518,21.1624362334311,18.962388750945536,44.33005692040482
2024-12-01,Yujno-kazachstanskaya,31.720329445565294,32.98804215074977,19.03649536083565,44.40416353029494
2024-01-01,Zapadno-kazachstanskaya,33.611181666818695,39.178013992469616,20.927347582089048,46.29501575154834
2024-02-01,Zapadno-kazachstanskaya,27.433046536985675,36.914439835277605,14.74921245225603,40.11688062171532
2024-03-01,Zapadno-kazachstanskaya,14.449696075887655,26.328292939306714,1.76586199115801,27.133530160617298
2024-04-01,Zapadno-kazachstanskaya,10.906225073008871,21.831787634833262,-1.7776090117207737,23.590059157738516
2024-05-01,Zapadno-kazachstanskaya,11.847553163973956,14.508278316564226,-0.8362809207556889,24.531387248703602
2024-06-01,Zapadno-kazachstanskaya,13.485247601984714,13.883963750364074,0.8014135172550692,26.169081686714357
2024-07-01,Zapadno-kazachstanskaya,16.008933287363224,15.781639107540876,3.325099202633579,28.692767372092867
2024-08-01,Zapadno-kazachstanskaya,16.977370940077403,16.67536904713383,4.293536855347758,29.661205024807046
2024-09-01,Zapadno-kazachstanskaya,17.851147873241764,34.04386995420841,5.16731378851212,30.53498195797141
2024-10-01,Zapadno-kazachstanskaya,19.758759753478913,18.548556721660287,7.074925668749268,32.44259383820856
2024-11-01,Zapadno-kazachstanskaya,24.002720016368393,16.58260991733233,11.318885931638748,36.68655410109804
2024-12-01,Zapadno-kazachstanskaya,31.032904428259908,32.44274561087231,18.349070343530265,43.71673851298955
